Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,18.669,38.1,180.0,top
C2,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,18.669,36.576,180.0,top
C3,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,29.591,34.0625,-90.0,top
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,33.401,35.56,0.0,top
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,24.765,32.3585,-90.0,top
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,33.401,34.036,0.0,top
C7,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,53.975,44.4765,90.0,top
C8,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,33.401,32.512,0.0,top
C9,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,29.972,47.3445,90.0,top
C10,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,44.831,44.4765,-90.0,top
C11,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,38.989,47.8525,90.0,top
C12,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,24.638,46.9635,90.0,top
C13,27pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10.414,43.7145,90.0,top
C14,27pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10.414,36.9305,-90.0,top
C15,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,35.5335,41.783,180.0,top
C16,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,35.5335,40.259,180.0,top
C17,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,8.5355,18.796,0.0,top
C18,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,13.589,26.8975,-90.0,top
C19,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,14.478,17.78,90.0,top
C20,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,62.5105,41.275,180.0,top
C21,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,54.61,32.4855,90.0,top
Q2,2N7002K,SOT-23_Handsoldering,41.021,33.02,180.0,top
Q3,2N7002K,SOT-23_Handsoldering,24.511,22.709,90.0,top
Q4,2N7002K,SOT-23_Handsoldering,24.511,8.104,90.0,top
Q5,2N7002K,SOT-23_Handsoldering,51.181,22.709,90.0,top
Q6,2N7002K,SOT-23_Handsoldering,51.181,8.104,90.0,top
Q7,2N7002K,SOT-23_Handsoldering,20.701,8.104,90.0,top
Q8,2N7002K,SOT-23_Handsoldering,47.371,22.709,90.0,top
Q9,2N7002K,SOT-23_Handsoldering,47.371,8.104,90.0,top
Q10,2N7002K,SOT-23_Handsoldering,43.561,22.709,90.0,top
Q11,2N7002K,SOT-23_Handsoldering,43.561,8.104,90.0,top
Q12,2N7002K,SOT-23_Handsoldering,39.751,22.709,90.0,top
Q13,2N7002K,SOT-23_Handsoldering,39.751,8.104,90.0,top
Q14,2N7002K,SOT-23_Handsoldering,35.941,22.709,90.0,top
Q15,2N7002K,SOT-23_Handsoldering,35.941,8.104,90.0,top
Q16,2N7002K,SOT-23_Handsoldering,32.131,22.709,90.0,top
Q17,2N7002K,SOT-23_Handsoldering,32.131,8.104,90.0,top
Q18,2N7002K,SOT-23_Handsoldering,28.321,22.709,90.0,top
Q19,2N7002K,SOT-23_Handsoldering,28.321,8.104,90.0,top
Q20,2N7002K,SOT-23_Handsoldering,9.144,29.567,90.0,top
R1,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,39.9015,56.134,180.0,top
R2,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,38.989,53.2365,-90.0,top
R3,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,19.4545,39.751,0.0,top
R4,27,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,33.4245,37.084,0.0,top
R5,27,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,33.4245,38.608,0.0,top
R6,5.1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.1705,44.172999,0.0,top
R7,5.1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.1705,56.364999,0.0,top
R8,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,43.7915,34.544,180.0,top
R9,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,24.511,26.289,0.0,top
R10,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,24.511,11.684,0.0,top
R11,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,43.7915,31.496,0.0,top
R12,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,24.511,19.177,0.0,top
R13,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,24.511,4.572,0.0,top
R14,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.181,26.289,0.0,top
R15,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.181,11.684,0.0,top
R16,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,20.701,11.684,0.0,top
R17,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.181,19.177,0.0,top
R18,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.181,4.572,0.0,top
R19,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,20.701,4.572,0.0,top
R20,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47.371,26.289,0.0,top
R21,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47.371,11.684,0.0,top
R22,680K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.827,17.7565,-90.0,top
R23,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47.371,19.177,0.0,top
R24,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47.371,4.572,0.0,top
R25,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,43.561,26.289,0.0,top
R26,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,43.561,11.684,0.0,top
R27,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,43.561,19.177,0.0,top
R28,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,43.561,4.572,0.0,top
R29,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,39.751,26.289,0.0,top
R30,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,39.751,11.684,0.0,top
